Country,Power_Index_Rank,Power_Index_Score,Total_Population_By_Country,Available_Military_Manpower,Manpower_Fit_For_Military_Service,Manpower_Reaching_Military_Age_Annually,Active_Military_Manpower,Active_Reserve_Military_Manpower,Manpower_Paramilitary,Capital City,Region,Continent,Alliance,Year,Aircraft_Total,Aircraft_Total_Fighters,Aircraft_Total_Attack_Types,Aircraft_Total_Transports,Aircraft_Total_Trainers,Aircraft_Total_Special_Mission,Aircraft_Total_Tanker_Fleet,Aircraft_Helicopters_Total,Aircraft_Helicopters_Attack,Armor_Tanks_Total,Armor_Apc_Total,Armor_Self_Propelled_Guns_Total,Armor_Towed_Artillery_Total,Armor_Mlrs_Total,Naval_Assets,Navy_Force_By_Tonnage,Navy_Aircraft_Carriers,Navy_Helo_Carriers,Navy_Submarines,Navy_Destroyers,Navy_Frigates,Navy_Corvettes,Navy_Patrol_Coastal_Craft,Navy_Mine_Warfare_Craft,Defense_Spending_Budget,External_Debt_By_Country,Purchasing_Power_Parity,Reserves_Of_Foreign_Exchange_And_Gold,Major_Serviceable_Airports_By_Country,Labor_Force_By_Country,Major_Ports_And_Terminals,Railway_Coverage,Roadway_Coverage,Oil_Production_By_Country,Oil_Consumption_By_Country,Proven_Oil_Reserves_By_Country,Natural_Gas_Production_By_Country,Natural_Gas_Consumption_By_Country,Proven_Natural_Gas_Reserves_By_Country,Coal_Production_By_Country,Coal_Consumption_By_Country,Proven_Coal_Reserves_By_Country,Square_Land_Area,Coastline_Coverage,Border_Coverage,Waterway_Coverage,Country_Encoded,Assets_Per_Capita,Defense_Budget_to_GDP_Ratio,Total_Personnel,Personnel_Density,Defense_Budget_Per_Soldier,Power_Index_Rank_Gap,Air_Power_Ratio,Armor_Intensity_Index,Naval_Strength_Per_Coastline,Military_Burden_Index,Total_Military_Assets
Senegal,125,2.8116,18847519,7162057,4089912,395798,17000,0,0,Dakar,West Africa,Africa,Non-NATO,2025,40,0,0,5,23,1,0,20,5,0,1740,0,20,6,4,0,0,0,0,0,0,0,4,0,465150000,11326000000,77382000000,889295000,19,5257000,6,906,16665,9000,55000,0,54646000,54498000,0,0,502000,0,196722,531,2684,1000,109,2.33E-06,0.006011088,17000,0.000901975,27361.76471,124,0.002352941,0,0.007532957,24.67964086,44
Nepal,126,2.8915,31122387,15249970,11733140,778060,95000,0,15000,Kathmandu,South Asia,Asia,Non-NATO,2025,15,0,0,5,0,0,0,10,0,0,1108,0,14,0,0,0,0,0,0,0,0,0,0,0,409100000,5838500000,1.4431E+11,12456000000,51,8937000,0,59,27990,0,62000,0,0,0,0,15000,1095000,8000000,147181,0,3159,0,87,4.82E-07,0.002834869,95000,0.003052465,4306.315789,125,0.000157895,0,,13.14487864,15
Montenegro,127,2.9216,599849,143964,85179,3599,2350,0,5500,Podgorica,Balkans,Europe,NATO,2025,11,0,0,0,0,0,0,11,0,0,471,0,12,12,14,0,0,0,0,0,0,0,2,0,148100000,2958500000,17115000000,1574000000,5,286000,4,250,7762,0,8000,0,0,0,0,1734000,1517000,337000000,13812,294,680,0,82,4.17E-05,0.008653228,2350,0.003917653,63021.2766,126,0.004680851,0,0.047619048,246.8954687,25
El Salvador,128,2.9371,6628702,3181777,2512278,145831,25000,10000,15000,San Salvador,Central America,North America,Non-NATO,2025,52,0,15,4,10,0,0,30,0,0,1844,0,76,0,14,0,0,0,0,0,0,0,10,0,334620000,14258000000,71957000000,3799434000,27,2870000,3,13,9012,3,58000,0,0,226472,0,0,500,0,21041,307,590,422,38,9.96E-06,0.004650277,35000,0.005280068,13384.8,127,0.00208,0,0.045602606,50.48047114,66
Burkina Faso,129,2.9734,23042199,8525614,6060098,368675,12000,0,4500,Ouagadougou,West Africa,Africa,Non-NATO,2025,25,0,3,2,0,2,0,18,5,0,491,0,8,9,0,0,0,0,0,0,0,0,0,0,81280000,3145000000,57152000000,47138000,49,8577000,0,622,15304,0,36000,0,0,0,0,0,0,0,274200,0,3611,0,21,1.08E-06,0.001422172,12000,0.000520784,6773.333333,128,0.002083333,0,,3.527441109,25
Madagascar,130,3.0609,29452714,11192031,7952233,559602,13500,0,8100,Antananarivo,East Africa,Africa,Non-NATO,2025,5,0,0,0,0,0,0,5,0,6,158,0,9,0,6,0,0,0,0,0,0,0,4,0,112210000,3028500000,51255000000,2632000000,91,15830000,13,836,31640,0,19000,0,0,0,0,0,511000,150000000,587040,4828,0,600,75,5.77E-07,0.00218925,13500,0.000458362,8311.851852,129,0.00037037,1.02E-05,0.001242751,3.809835657,17
Nicaragua,131,3.0966,6676948,3271705,2777610,146893,45000,0,5500,Managua,Central America,North America,Non-NATO,2025,17,0,0,5,1,0,0,11,0,89,1869,0,0,0,23,0,0,0,0,0,0,0,23,0,92000000,9053000000,51088000000,5447000000,39,3264000,5,0,23897,200,36000,0,0,0,0,0,0,0,130370,910,1253,2220,90,1.93E-05,0.001800814,45000,0.006739606,2044.444444,130,0.000377778,0.000682672,0.025274725,13.77875041,129
Bosnia and Herzegovina,132,3.0799,3798671,2355176,1956316,49383,12770,6000,0,Sarajevo,Balkans,Europe,Non-NATO,2025,22,0,0,0,0,0,0,22,0,45,720,0,457,79,0,0,0,0,0,0,0,0,0,0,216400000,7760500000,63769000000,9205000000,13,1369000,1,965,22926,0,36000,0,0,225824000,0,14114000,14766000,2264000000,51197,20,1543,990,17,1.76E-05,0.003393498,18770,0.004941202,16945.96711,131,0.001722788,0.000878958,0,56.96729198,67
Gabon,133,3.1805,2455105,932940,532758,46647,4800,0,2500,Libreville,Central Africa,Africa,Non-NATO,2025,24,6,0,3,0,0,0,15,0,0,424,0,0,14,5,0,0,0,0,0,0,0,4,0,274820000,6280000000,48201000000,1568196000,40,763000,9,649,14300,204000,16000,2000000000,463000000,463000000,25995000000,0,0,0,267667,885,3261,1600,44,1.18E-05,0.005701541,4800,0.00195511,57254.16667,132,0.005,0,0.005649718,111.9381859,29
Moldova,134,3.2555,3599528,2159717,1792565,71991,8500,67000,2000,Chisinau,Eastern Europe,Europe,Non-NATO,2025,3,0,0,1,0,0,0,2,0,0,500,9,67,11,0,0,0,0,0,0,0,0,0,0,1710000000,4565500000,38969000000,5453000000,11,1464000,0,1171,9352,0,22000,0,10000,2344000000,0,0,120000,0,33851,0,1885,558,80,8.33E-07,0.043881034,75500,0.020974972,201176.4706,133,0.000352941,0,,475.0622859,3
